Building Name,Property Type,Address,Area / Size,Rent,City,Region,Property Details,Property Link,Image URL,Listing ID,Source,Building Size,Year Built,Grade,Construction Status
EON Hyderabad,Office/Commercial,"Financial District, Hyderabad, Telangana 500032, India","2,211,560 SF",Contact us for pricing,Hyderabad,Telangana,Prime Location in Financial District. Excellent Connectivity to IT Corridor and Hyderabad International Airport (25-min drive). Modern Amenities planned. Tentatively six months from OC.,https://www.cushmanwakefield.com/en/india/properties/for-lease/commercial/telangana/hyderabad/financial-district/eon-hyderabad-l,,eon-hyderabad-l,Cushman & Wakefield,"2,450,000 SF",2025,A,The façade is currently under progress.
DLF CYBERCITY - BLOCK 2,office,"APHB Colony, Indira Nagar, Gachibowli, Hyderabad","134,057 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/dlf-cybercity-block-2-aphb-colony-indira-nagar,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1724171188/prd/Focus/Property/fyt9gl9hljb0cbcxy1ku.jpg",dlf-cybercity-block-2-aphb-colony-indira-nagar,JLL,,,,
DLF CYBERCITY - BLOCK 3,office,"APHB Colony, Indira Nagar, Gachibowli, Hyderabad","125,990 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/dlf-cybercity-block-3-aphb-colony-indira-nagar,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1724210577/prd/Focus/Property/kdudcm3bfdgzpf8cf5fc.jpg",dlf-cybercity-block-3-aphb-colony-indira-nagar,JLL,,,,
CENTAURUS,office,"Financial District, Nanakramguda, Financial District, Hyderabad","125,000 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/centaurus-financial-district-nanakramguda,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1758041695/prd/Focus/Property/wl9nxk617efa3v1su6cr.jpg",centaurus-financial-district-nanakramguda,JLL,,,,
SAS I TOWER - A,office,"Khajaguda - Nanakramguda Road, Sai Aishwarya Layout, Chitrapuri Colony, Manikonda Jagir, Kokapet, Hyderabad","120,000 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/sas-i-tower-a-khajaguda-nanakramguda-road-sai-aishwarya-layout-chitrapuri-colony-manikonda-jagir,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1751078361/prd/Focus/Property/xnj1mn1dm6ycsiwy2bft.jpg",sas-i-tower-a-khajaguda-nanakramguda-road-sai-aishwarya-layout-chitrapuri-colony-manikonda-jagir,JLL,,,,
DLF CYBERCITY - BLOCK 1,office,"APHB Colony, Indira Nagar, Gachibowli, Hyderabad","101,649 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/dlf-cybercity-block-1-aphb-colony-indira-nagar,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1724171113/prd/Focus/Property/xjum3ecao38j0yz6sd2k.jpg",dlf-cybercity-block-1-aphb-colony-indira-nagar,JLL,,,,
AVANCE BUSINESS HUB - BUILDING H09,office,"Siddiq Nagar, Hitec City, Hyderabad","98,000 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/avance-business-hub-building-h09-siddiq-nagar,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1737952732/prd/Focus/Property/dfmallcxh15r0lqwydj5.jpg",avance-business-hub-building-h09-siddiq-nagar,JLL,,,,
CYBER SPAZIO,office,"Hitech City, Hitec City, Hyderabad","89,699 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/cyber-spazio-hitech-city,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1749615753/prd/Focus/Property/tppbf3niscor3ste7ko4.jpg",cyber-spazio-hitech-city,JLL,,,,
DIVYASREE TECHRIDGE - BLOCK 3,office,"Survey No.201 (P), Manikonda, Rajendra Nagar, Ranga Reddy District, Manikonda, Hyderabad","70,000 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/divyasree-techridge-block-3-survey-no201-p-manikonda-rajendra-nagar-ranga-reddy-district,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1724171195/prd/Focus/Property/u0fzpfepocjbdetwabeb.jpg",divyasree-techridge-block-3-survey-no201-p-manikonda-rajendra-nagar-ranga-reddy-district,JLL,,,,
PHOENIX 285 IT PARK - TOWER 1,office,"Puppalguda, Puppalaguda, Hyderabad","70,000 sqft",Rent negotiable,Hyderabad,Telangana,,https://property.jll.co.in/listings/phoenix-285-it-park-tower-1-puppalguda,"https://res.cloudinary.com/jll-global-ods/image/upload/f_avif,dpr_auto,c_fill,g_south,ar_4:3,w_3840,q_auto/v1751561047/prd/Focus/Property/imun2qusppirx3if92xd.jpg",phoenix-285-it-park-tower-1-puppalguda,JLL,,,,
